Timestamp,Username,School name,Grades served,School ID number,School address,Lat,Long,School start time,School end time,School phone number,School fax number,School email,School website link,Neighborhood,Principal,School tours,Uniforms and dress code,Pre-Kindergarten,Transitional Kindergarten (TK),Before school programs,Does your before school program offer:,Afterschool programs,Does your afterschool program offer:,Multilingual Pathways,Special education classes,Student support programs,Arts enrichment,Academic enrichment,Middle school feeder
5/6/16 16:46,leea@sfusd.edu,John Yehall Chin Elementary School,K-5,872,"350 Broadway, San Francisco, CA 94133",37.798875,-122.403162,9:25 am M-F,3:35 pm M-F,415-291-7946,415-291-7943,sch872@sfusd.edu,http://www.sfusd.edu,North Beach / Financial District / Chinatown,Allen A. Lee,Tours scheduled upon request.,Blue or white top with blue bottom,Not available at this school,Not available at this school,(depending on needs & logistics),(depending on needs & logistics),"ExCEL program, Chinatown YMCA After-School Program","Mandarin language program, Child care, Reading support, Tutoring services, Math enrichment, Writing, Physical activities or recess",Cantonese Biliteracy Pathway,Resource Program & Speech Program,"Mentoring, Tutoring, Reading enrichment, English literacy support, English learner support, Counselor or therapist, Speech therapist, Elementary advisor, Social worker, Psychologist, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Dance, Visual arts, Cooking, Gardening, Photography","Homework help, Tutoring, Writer's workshop, Literature support, English language development, Project-based learning, Library, Computer lab",Francisco Middle School
5/6/16 17:42,adamsk2@sfusd.edu,Jefferson Elementary,K-5,644,1725 Irving St.,37.763292,-122.476578,8:40 am M-F,2:40 pm M-F,415-759-2821,415-759-2806,sch644@sfusd.edu,http://jefferson-sfusd-ca.schoolloop.com/,Inner Sunset,Kim Adams,Visit our website for tour dates and times. ,,Not available at this school,Not available at this school,Out of School Time (OST) Program,,Out of School Time (OST) Program,,,Mild/moderate (autism focus),"English literacy support, English learner support, Speech therapist, Social worker, Psychologist, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST)","Arts residency, Choir, Performing arts, Theater, Visual arts, Ceramics, Gardening","English language development, Project-based learning, Gold Ribbon Schools Award for exemplary Science Program",A. P. Giannini 
5/7/16 18:29,slifec@sfusd.edu,Dr. William L. Cobb Elementary,PreK-5,525,"2725 California St., San Francisco, CA 94115",37.787924,-122.439614,8:40 am M-F,2:40 pm M-F,415-749-3505,415-749-3436,sch525@sfusd.edu,http://cobbes-sfusd-ca.schoolloop.com/,Lower Pacific Heights,Chad Slife,9 am Thursdays,"Students wear navy blue pants, shorts, skirt or jumper; navy or white shirt; navy blue sweater.",Available onsite,Not available at this school,,,ExCEL program,"Reading support, Tutoring services, Writing, Drama, Music, Dance, Visual arts, Gardening, Physical activities or recess",,Moderate/severe (PreK only),"Mentoring, Tutoring, Reading enrichment, English literacy support, Speech therapist, Elementary advisor, Family liaison, Social worker, Psychologist, On-site nurse, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Dance, Visual arts","Tutoring, Writer's workshop, English language development, Project-based learning, Library, Computer lab",Roosevelt Middle School
5/8/16 17:21,ricoc@sfusd.edu,Cesar Chavez Elementary,PreK-5,603,825 Shotwell St.,37.755199,-122.41522,8:40 am M-F,"2:55 pm M, T, W, F; 1:40 pm TH",415-695-5765,415-695-5843,sch603@sfusd.edu,https://cces-sfusd-ca.schoolloop.com/,Mission,Catalina Rico,9-10 am Thursdays from October to January,"White top and navy blue pants, jumper or skirt",Available onsite,Not available at this school,,"Reading support, Tutoring, Physical activities or recess, Dance, ASL Classes for families and staff",ExCEL program,"Reading support, Tutoring services, Writing, Drama, Music, Dance, Photography, Visual arts, Gardening, Cooking, Sports, Physical activities or recess, Mariachi development program",Spanish Biliteracy Pathway,"Mild/moderate, Deaf/hearing impairment (total communication)","English literacy support, English learner support, Spanish literacy support, Counselor or therapist, Speech therapist, Elementary advisor, Family liaison, Social worker, Psychologist, On-site nurse, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Mental Health Collaborative","Arts residency, Dance, Visual arts, Gardening, Mariachi Development Program","Writer's workshop, English language development, Spanish language development, Library, Computer lab, Mission Science Workshop program",Everett Middle School
5/8/16 18:59,agudelom@sfusd.edu,Guadalupe Elementary School,K-5,593,859 Prague St. San Francisco CA 94112,37.710456,-122.434201,8:40 am M-F,2:40 pm M-F,415-469-4718,415-469-4066,sch593@sfusd.edu,www.sfusd.edu,Crocker Amazon,Maria Luz Agudelo,9 am Wednesdays,Clothes appropriate for learning and playing.,Available onsite,Not available at this school,SFUSD Early Education Program,Safety patrol,"ExCEL program, SFUSD Early Education Program","Child care, Tutoring services, Writing, Drama, Music, Dance, Visual arts, Cooking, Sports, Physical activities or recess, Homework assistance",Spanish Biliteracy Pathway,Inclusion mild/moderate,"Mentoring, Speech therapist, Elementary advisor, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Dance, Visual arts, Music","Homework help, Writer's workshop, English language development, Library, Computer lab",Visitation Valley
5/8/16 20:49,bermanb@sfusd.edu,E.R. Taylor Elementary School,PreK-5,513,"423 Burrows St., San Francisco CA 94134",37.728004,-122.407539,8:40 am M-F,"2:45 pm M, W, TH, F; 2:15 pm T",415-330-1530,415-468-1742,sch513@sfusd.edu,ertes-sfusd-ca.schoolloop.com ,Portola,Barbara Berman,9:15 am Fridays in November and December,"White collared shirt, black pants, skirt, skort and burgundy sweater.",Available onsite,Not available at this school,,Safety patrol,ExCEL program,"Tutoring services, Cooking, Physical activities or recess, Homework assistance","Cantonese Biliteracy Pathway, Spanish Biliteracy Pathway","Mild/moderate, SOAR (Success, Opportunity, Achievement, Resiliency)","English literacy support, Spanish literacy support, Counselor or therapist, Speech therapist, Family liaison, Social worker, Psychologist, On-site nurse, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Community Relations Specialist","Arts residency, Choir, Visual arts, Gardening","English language development, Library, Computer lab",Martin Luther King Jr. Middle School
5/9/16 10:31,tongr2@sfusd.edu,Chinese Immersion School at De Avila,K-5,509,1250 Waller St.,37.770041,-122.444326,8:40 am M-F,2:40 am M-F,415.241.6325,415.241.6540,sch509@sfusd.edu,cisdeavila.com,Haight Ashbury,TBD,"9 am on 10/20/16, 10/26/16, 11/03/16, 11/09/16, 11/17/16, 12/07/16, 12/15/18, 01/04/17.",,Not available at this school,Not available at this school,GLO- Growth & Learning Opportunities. gloinc.org,GLO- Growth & Learning Opportunities. gloinc.org,GLO- Growth & Learning Opportunities. gloinc.org,"Writing, Drama, Music, Dance, Visual arts, Gardening, Cooking, Sports, Physical activities or recess",Cantonese Dual Language Immersion,,"English literacy support, Psychologist, On-site nurse, Technology teacher, Librarian, Student Assistant Program (SAP), Student Success Team (SST), full time nurse acts takes on counselor, social worker role","Arts residency, Choir, Performing arts, Theater, Dance, Visual arts, Ceramics, Gardening","STEAM (science, technology, engineering, arts, mathematics), field trips/place based learning, ",Roosevelt Middle School
5/9/16 14:09,vroeghw@sfusd.edu,George Peabody,K-5,569,"251 6th Ave., San Francisco CA 94118",37.7841,-122.465125,8:40 am M-F,2:40 am M-F,415 750 8480,415 750 8487,sch569@sfusd.edu,http://george-sfusd-ca.schoolloop.com/,Richmond District,Willem Vroegh,"Mid-October to Mid-January, visit our website for details.",,Not available at this school,Not available at this school,RDASC 7:40-8:20,Child care,ExCEL program,"Reading support, Tutoring services, Math enrichment, Drama, Music, Dance, Visual arts, Gardening, Sports, Physical activities or recess, More TBD!",,Mild/moderate,"Mentoring, Tutoring, Reading enrichment, English learner support, Counselor or therapist, Speech therapist, Elementary advisor, Social worker, Psychologist, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Theater, Dance, Visual arts, Gardening, Opera","Tutoring, Writer's workshop, English language development, Library",Roosevelt Middle School
5/9/16 14:19,obayashit@sfusd.edu,Rooftop PK-8 School,PreK-8,796,443 Burnett Ave. and 500 Corbett Ave.,37.754647,-122.444012,7:30 am M-F,1:50 pm M-F,415-695-5691,415-695-5429,sch796@sfusd.edu & sch796a@sfusd.edu,www.rooftopk8.org,Twin Peaks,Jeff Slater,Thursdays from November to January,,Available onsite,Not available at this school,,,CASA:  Children's Afterschool Arts,"Mandarin language program, Spanish language program, Child care, Academic chess, Music, Visual arts, French, Tree Frog Treks, Band, Legos for Engineering",,Resource Specialist Program,"Mentoring, Reading enrichment, English learner support, Counselor or therapist, Speech therapist, Social worker, Psychologist, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Choir, Performing arts, Dance, Writing or poetry, Visual arts, Ceramics, Gardening","Homework help, Writer's workshop, Literature support, English language development, Project-based learning, Library, STEAM (science, technology, engineering, arts, mathematics)",
5/9/16 14:40,machador@sfusd.edu,"Milk, Harvey Civil Rights Academy",K-5,505,4235 19th St. ,37.759278,-122.436441,9:30 am M-F,3:30 pm M-F,415-241-6276,,Sch505@sfusd.edu,Www.harveymilk.com,Castro,Ron Machado,TBD. Check website at harveymilksf.com,,Not available at this school,Not available at this school,YMCA,"Reading support, Tutoring, Physical activities or recess, A variety of Arts and Enrichments",YMCA,"Reading support, Tutoring services, Math enrichment, Drama, Music, Dance, Visual arts, Gardening, A variety of Arts and Enrichment throughout the year",,Inclusion ,"Mentoring, Tutoring, Reading enrichment, English learner support, Counselor or therapist, Speech therapist, Elementary advisor, Family liaison, Social worker, Psychologist, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Theater, Dance, Writing or poetry, Visual arts, Ceramics, Two 10-week sessions of arts/enrichments will be provided to each class, on in the fall and one in the spring. ","English language development, Mission Science Workshop program",Everette Middle School
